t_months,nn_output_unit_interval,true_sin4,period_months,phi_rad,phi_over_pi
9.007506255212677004e+00,4.527742937248172561e-01,2.139803782266312562e-04,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.037531276063385022e+00,2.273376811992483537e-01,1.515154912851091810e-04,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.067556296914094816e+00,2.213268413008066537e-01,1.037949916060336561e-04,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.097581317764802833e+00,2.288582803771412877e-01,6.831663176610676955e-05,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.127606338615512627e+00,2.180238544659992839e-01,4.279981806073586626e-05,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.157631359466220644e+00,2.966855691135065198e-01,2.519025657273802875e-05,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.187656380316930438e+00,2.429265242869319552e-01,1.366413398422268644e-05,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.217681401167638455e+00,4.792051912439931893e-01,6.631826007802721876e-06,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.247706422018348249e+00,4.710777811014090211e-01,2.741127119176111398e-06,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.277731442869058043e+00,2.954486764494711482e-01,8.799960895165175604e-07,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.307756463719766060e+00,2.318138231015946238e-01,1.788126414802736062e-07,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.337781484570475854e+00,2.277585929889204552e-01,1.214138570093307944e-08,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.367806505421183871e+00,2.391159748730171952e-01,3.399980029010641728e-14,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.397831526271893665e+00,2.213425497486985472e-01,8.629729836925880290e-09,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.427856547122601683e+00,4.489036888182497687e-01,1.507661843612151033e-07,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.457881567973311476e+00,3.783887700828133527e-01,7.854111564064903184e-07,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.487906588824019494e+00,3.494149778267775508e-01,2.517104665525270001e-06,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.517931609674729287e+00,3.549332575196447181e-01,6.194699177260598198e-06,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.547956630525437305e+00,2.966947955864355224e-01,1.290963784792574581e-05,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.577981651376147099e+00,4.172160729142279645e-01,2.399373976081716715e-05,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.608006672226855116e+00,3.290607229465748462e-01,4.101649592561546913e-05,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.638031693077564910e+00,9.062721084547614714e-02,6.578188064638362863e-05,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.668056713928272927e+00,8.236050790597487792e-02,1.003246836896595979e-04,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.698081734778982721e+00,2.086119341578738795e-01,1.469063695013209851e-04,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.728106755629690738e+00,1.995340690500802816e-01,2.080104705278035238e-04,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.758131776480400532e+00,2.195073660762428824e-01,2.863375224926686577e-04,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.788156797331108550e+00,2.745649677049157855e-01,3.847995502618101974e-04,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.818181818181818343e+00,1.209895008725935528e-01,5.065141136991576287e-04,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.848206839032526361e+00,8.996426328212997481e-02,6.547979236672027675e-04,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
