T_months,phi_rad,phi_over_pi,auc_true,auc_nn
4.430621457583877600e+03,1.952756727841000073e+00,6.215817717837002210e-01,5.034969911369604478e-01,4.934083570069393021e-01
4.977023564332113892e+03,1.952756727841000073e+00,6.215817717837002210e-01,4.984738178879857262e-01,4.994442396963804098e-01
5.590810182512223037e+03,1.952756727841000073e+00,6.215817717837002210e-01,5.039931473499004166e-01,4.912671839013504904e-01
6.280291441834246143e+03,1.952756727841000073e+00,6.215817717837002210e-01,5.048650380420658390e-01,4.969201441476157610e-01
7.054802310718645458e+03,1.952756727841000073e+00,6.215817717837002210e-01,4.872951336923954657e-01,4.839185642891495887e-01
7.924828983539169712e+03,1.952756727841000073e+00,6.215817717837002210e-01,4.997257371677106819e-01,5.007245841062727409e-01
8.902150854450392217e+03,1.952756727841000073e+00,6.215817717837002210e-01,4.926390581638840915e-01,5.073603817350288425e-01
1.000000000000000000e+04,1.952756727841000073e+00,6.215817717837002210e-01,4.885204481704858437e-01,4.987772993269825594e-01
1.000000000000000056e-01,2.052728374217000162e+00,6.534037351632510093e-01,7.679769111395891024e-01,6.678211283572459411e-01
1.123324032978027381e-01,2.052728374217000162e+00,6.534037351632510093e-01,7.695422069775152973e-01,6.313338097926580739e-01
1.261856883066020396e-01,2.052728374217000162e+00,6.534037351632510093e-01,7.680348816020982072e-01,6.972633554237201992e-01
1.417474162926805059e-01,2.052728374217000162e+00,6.534037351632510093e-01,7.681043341368917199e-01,6.962988146767395969e-01
1.592282793341092129e-01,2.052728374217000162e+00,6.534037351632510093e-01,7.771303631546088164e-01,6.902455221785094297e-01
1.788649529057435017e-01,2.052728374217000162e+00,6.534037351632510093e-01,7.803627065279408193e-01,6.928817312948640783e-01
2.009233002565046777e-01,2.052728374217000162e+00,6.534037351632510093e-01,7.665381981473349260e-01,7.038932253159717600e-01
2.257019719633920340e-01,2.052728374217000162e+00,6.534037351632510093e-01,7.810661934932682238e-01,6.878320932695266565e-01
2.535364493970111432e-01,2.052728374217000162e+00,6.534037351632510093e-01,7.822603290108464114e-01,7.076182709455400843e-01
2.848035868435802032e-01,2.052728374217000162e+00,6.534037351632510093e-01,7.619883103169126093e-01,6.838339983600240091e-01
3.199267137797383587e-01,2.052728374217000162e+00,6.534037351632510093e-01,7.606475216647100579e-01,6.687840354760560269e-01
3.593813663804627523e-01,2.052728374217000162e+00,6.534037351632510093e-01,7.703346566655017158e-01,6.665219272107564263e-01
4.037017258596554692e-01,2.052728374217000162e+00,6.534037351632510093e-01,7.662845657050851855e-01,6.976324620400824461e-01
4.534878508128581953e-01,2.052728374217000162e+00,6.534037351632510093e-01,7.778537337085263959e-01,7.028204917090102866e-01
5.094138014816379512e-01,2.052728374217000162e+00,6.534037351632510093e-01,7.737690098308942499e-01,7.171538986022865103e-01
5.722367659350217073e-01,2.052728374217000162e+00,6.534037351632510093e-01,7.730249155367561187e-01,7.073055011635166478e-01
