injected_period_months,phi_rad,bestfit_period_months,max_ls_power,global_pvalue_conditional,n_null_toys
2.656087782946686815e+01,2.912014714116000214e+00,1.321941148466028793e+01,6.116119488339971655e-01,1.000000000000000000e+00,2.000000000000000000e+02
2.656087782946686815e+01,3.020432623406000161e+00,1.321941148466028793e+01,6.154766222837469991e-01,1.000000000000000000e+00,2.000000000000000000e+02
2.983647240283340452e+01,0.000000000000000000e+00,1.484968262254465010e+01,6.849198732015099322e-01,1.000000000000000000e+00,2.000000000000000000e+02
2.983647240283340452e+01,9.577788161520000010e-01,1.668100537200059108e+01,6.235824002650429687e-01,1.000000000000000000e+00,2.000000000000000000e+02
2.983647240283340452e+01,1.103696963161999944e+00,1.484968262254465010e+01,6.089721031885815261e-01,1.000000000000000000e+00,2.000000000000000000e+02
2.983647240283340452e+01,1.117018429158999959e+00,1.484968262254465010e+01,5.834658009679875024e-01,1.000000000000000000e+00,2.000000000000000000e+02
2.983647240283340452e+01,1.310960399647999930e+00,1.484968262254465010e+01,5.940879718949814148e-01,1.000000000000000000e+00,2.000000000000000000e+02
2.983647240283340452e+01,1.513298605096000005e+00,1.668100537200059108e+01,7.332147213154017740e-01,1.000000000000000000e+00,2.000000000000000000e+02
2.983647240283340452e+01,1.570796326795000031e+00,1.484968262254465010e+01,5.356908848113937083e-01,1.000000000000000000e+00,2.000000000000000000e+02
2.983647240283340452e+01,1.687631551731000101e+00,1.484968262254465010e+01,7.359707124939445233e-01,1.000000000000000000e+00,2.000000000000000000e+02
2.983647240283340452e+01,1.737337002562999944e+00,1.484968262254465010e+01,7.230134045392483388e-01,1.000000000000000000e+00,2.000000000000000000e+02
2.983647240283340452e+01,1.892154948508000034e+00,1.484968262254465010e+01,6.057568550036730448e-01,9.800995024875621686e-01,2.000000000000000000e+02
2.983647240283340452e+01,1.952756727841000073e+00,1.484968262254465010e+01,7.700303809234390062e-01,1.000000000000000000e+00,2.000000000000000000e+02
2.983647240283340452e+01,2.052728374217000162e+00,1.484968262254465010e+01,6.605149603019496718e-01,4.975124378109452641e-03,2.000000000000000000e+02
2.983647240283340452e+01,2.420014265287000033e+00,1.484968262254465010e+01,7.797054436452415249e-01,4.975124378109452641e-03,2.000000000000000000e+02
2.983647240283340452e+01,2.512798025970000015e+00,1.484968262254465010e+01,8.126596187967710661e-01,4.975124378109452641e-03,2.000000000000000000e+02
2.983647240283340452e+01,2.538681563927999818e+00,1.484968262254465010e+01,7.864460880856567471e-01,4.975124378109452641e-03,2.000000000000000000e+02
2.983647240283340452e+01,2.631502027943000144e+00,1.484968262254465010e+01,6.956817566368672656e-01,1.492537313432835792e-02,2.000000000000000000e+02
2.983647240283340452e+01,2.635677408799999899e+00,1.484968262254465010e+01,6.726858667957080762e-01,4.975124378109452641e-03,2.000000000000000000e+02
2.983647240283340452e+01,2.838983169807999918e+00,1.484968262254465010e+01,7.738951579278635640e-01,4.975124378109452641e-03,2.000000000000000000e+02
2.983647240283340452e+01,2.912014714116000214e+00,1.484968262254465010e+01,7.691749491142846340e-01,4.975124378109452641e-03,2.000000000000000000e+02
2.983647240283340452e+01,3.020432623406000161e+00,1.484968262254465010e+01,7.011764195124751131e-01,4.975124378109452988e-02,2.000000000000000000e+02
3.351602650938841066e+01,0.000000000000000000e+00,1.668100537200059108e+01,8.058565193830490303e-01,8.805970149253731227e-01,2.000000000000000000e+02
3.351602650938841066e+01,9.577788161520000010e-01,1.668100537200059108e+01,7.570604295348373203e-01,1.000000000000000000e+00,2.000000000000000000e+02
3.351602650938841066e+01,1.103696963161999944e+00,1.873817422860383175e+01,7.159029422272412679e-01,8.059701492537313383e-01,2.000000000000000000e+02
3.351602650938841066e+01,1.117018429158999959e+00,1.873817422860383175e+01,5.367970232350250948e-01,1.000000000000000000e+00,2.000000000000000000e+02
3.351602650938841066e+01,1.310960399647999930e+00,1.873817422860383175e+01,7.726079456633399012e-01,9.850746268656715987e-01,2.000000000000000000e+02
3.351602650938841066e+01,1.513298605096000005e+00,1.668100537200059108e+01,6.648980498937300254e-01,1.000000000000000000e+00,2.000000000000000000e+02
3.351602650938841066e+01,1.570796326795000031e+00,1.873817422860383175e+01,6.953867382393896790e-01,3.034825870646766233e-01,2.000000000000000000e+02
3.351602650938841066e+01,1.687631551731000101e+00,1.873817422860383175e+01,6.598760467157035459e-01,9.900497512437811398e-01,2.000000000000000000e+02
3.351602650938841066e+01,1.737337002562999944e+00,1.668100537200059108e+01,6.267730860074661736e-01,1.000000000000000000e+00,2.000000000000000000e+02
3.351602650938841066e+01,1.892154948508000034e+00,1.484968262254465010e+01,5.856322387356167614e-01,1.000000000000000000e+00,2.000000000000000000e+02
3.351602650938841066e+01,1.952756727841000073e+00,1.668100537200059108e+01,7.348205711655714234e-01,1.000000000000000000e+00,2.000000000000000000e+02
3.351602650938841066e+01,2.052728374217000162e+00,1.668100537200059108e+01,6.491735179280845314e-01,1.000000000000000000e+00,2.000000000000000000e+02
3.351602650938841066e+01,2.420014265287000033e+00,1.668100537200059108e+01,5.681483633594887062e-01,9.104477611940298143e-01,2.000000000000000000e+02
3.351602650938841066e+01,2.512798025970000015e+00,1.668100537200059108e+01,7.571449015395070870e-01,5.024875621890547706e-01,2.000000000000000000e+02
3.351602650938841066e+01,2.538681563927999818e+00,1.668100537200059108e+01,7.663187817348463549e-01,9.950248756218905699e-01,2.000000000000000000e+02
