T_months,auc_true_avg,auc_nn_avg
4.229242874389498752e+01,7.802462195043626814e-01,7.501145103334917463e-01
4.750810162102798273e+01,7.831162054794316152e-01,7.461962555001927511e-01
5.336699231206306848e+01,7.789307660913308284e-01,7.481154605449858996e-01
5.994842503189408944e+01,7.713137600407454775e-01,7.405568286964431257e-01
6.734150657750821267e+01,7.702353787478231073e-01,7.323583630373609044e-01
7.564633275546290747e+01,7.702032149428996721e-01,7.384371331337880040e-01
8.497534359086438371e+01,7.764185913607020151e-01,7.452734632879873811e-01
9.545484566618337396e+01,7.844999445499925006e-01,7.551177719888219064e-01
1.072267222010323167e+02,7.935703569113485845e-01,7.595894440361929956e-01
1.204503540258782408e+02,7.965351446629087562e-01,7.702564852237866466e-01
1.353047774579806060e+02,7.922408963036315921e-01,7.646131027061097152e-01
1.519911082952933157e+02,7.815818552265647590e-01,7.493815737197582205e-01
1.707352647470690385e+02,7.675110143878767222e-01,7.272607033450729785e-01
1.917910261672488730e+02,7.548819064198040163e-01,7.245284859011353884e-01
2.154434690031884543e+02,7.460513340114289793e-01,7.173112146613555007e-01
2.420128264794381039e+02,7.354824692093762106e-01,6.991608145438088506e-01
2.718588242732940330e+02,7.251175652181706122e-01,6.928564590670659440e-01
3.053855508833415797e+02,7.166209624179638027e-01,6.779292119975146580e-01
3.430469286314919373e+02,7.044031506806348597e-01,6.714547841594450395e-01
3.853528593710527161e+02,6.914178697638017068e-01,6.589156984385876603e-01
4.328761281083056929e+02,6.810667255893008143e-01,6.551876189281308216e-01
4.862601580065353346e+02,6.740485002733292985e-01,6.363877886014202012e-01
5.462277217684342077e+02,6.622341153464710306e-01,6.337753091011200102e-01
6.135907273413170060e+02,6.518837646485103887e-01,6.196075030954919516e-01
6.892612104349694846e+02,6.422902272068727880e-01,6.146284331396130174e-01
7.742636826811269657e+02,6.331182498483991505e-01,6.022193398797949238e-01
8.697490026177833897e+02,6.236143705882704058e-01,5.898343659730375110e-01
9.770099572992246522e+02,6.154785008931745738e-01,5.894487247058349810e-01
1.097498765493056680e+03,6.057964861498202902e-01,5.810150492627574881e-01
1.232846739442065882e+03,6.027979803128202807e-01,5.717801118745912126e-01
1.384886371393871741e+03,5.940752927088281954e-01,5.621092431428691416e-01
1.555676143930472335e+03,5.854831833382622142e-01,5.645946310390099754e-01
1.747528400007682876e+03,5.792721523713932896e-01,5.544071670721797407e-01
1.963040650040272340e+03,5.738901456934946133e-01,5.563716189497881492e-01
2.205130739903045651e+03,5.653698552848152037e-01,5.472224680443659173e-01
2.477076355991709079e+03,5.608639633947800629e-01,5.373730484211123315e-01
2.782559402207125913e+03,5.588434267283226564e-01,5.377585986718884659e-01
3.125715849688235267e+03,5.551372565053874775e-01,5.271922123171457475e-01
3.511191734215127326e+03,5.476818676234687100e-01,5.326770092132895318e-01
3.944206059437656222e+03,5.428087407882040694e-01,5.329936296902864079e-01
4.430621457583877600e+03,5.402868389686970030e-01,5.278651084281025252e-01
4.977023564332113892e+03,5.376009488859218033e-01,5.274272657395873143e-01
5.590810182512223037e+03,5.366479275512978653e-01,5.226929576249921272e-01
6.280291441834246143e+03,5.332980376298315228e-01,5.165421631962803239e-01
7.054802310718645458e+03,5.318273148604527600e-01,5.147373914710794418e-01
7.924828983539169712e+03,5.295496031123697600e-01,5.198041149133262318e-01
8.902150854450392217e+03,5.266219593978986868e-01,5.194688267338489762e-01
1.000000000000000000e+04,5.248406932483173915e-01,5.209208467944295151e-01
