T_months,phi_rad,phi_over_pi,mu95_learned,mu95_ti,mu95_ratio
6.892612104349694846e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.687198396158822972e-02,4.780047823401840229e-02,7.713727001029743180e-01
7.742636826811269657e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.437557093353930948e-02,4.780047823401840229e-02,7.191470086396557493e-01
8.697490026177833897e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.338371291417523146e-02,4.780047823401840229e-02,6.983970484717217930e-01
9.770099572992246522e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.239767305713454199e-02,4.780047823401840229e-02,6.777688059630736506e-01
1.097498765493056680e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.411166774934687451e-02,4.780047823401840229e-02,7.136260767590073550e-01
1.232846739442065882e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.698060961577965405e-02,4.780047823401840229e-02,7.736451805928058478e-01
1.384886371393871741e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.402270780320103272e-02,4.780047823401840229e-02,7.117650086393471076e-01
1.555676143930472335e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.377982070217461219e-02,4.780047823401840229e-02,7.066837393717613214e-01
1.747528400007682876e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.323294405803761675e-02,4.780047823401840229e-02,6.952429198582068537e-01
1.963040650040272340e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.337166676955077155e-02,4.780047823401840229e-02,6.981450395992271352e-01
2.205130739903045651e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.305125672219458299e-02,4.780047823401840229e-02,6.914419675967349299e-01
2.477076355991709079e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.447749445941594021e-02,4.780047823401840229e-02,7.212792786428477987e-01
2.782559402207125913e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.707472944230487399e-02,4.780047823401840229e-02,7.756141949207470132e-01
3.125715849688235267e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.395000989517133611e-02,4.780047823401840229e-02,7.102441471183852384e-01
3.511191734215127326e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.425059227651826299e-02,4.780047823401840229e-02,7.165324185426867887e-01
3.944206059437656222e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.609433429183868391e-02,4.780047823401840229e-02,7.551040413263323536e-01
4.430621457583877600e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.470442441395207162e-02,4.780047823401840229e-02,7.260267197338164946e-01
4.977023564332113892e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.515385630598372169e-02,4.780047823401840229e-02,7.354289665027996525e-01
5.590810182512223037e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.499610474135490118e-02,4.780047823401840229e-02,7.321287575832045036e-01
6.280291441834246143e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.325525260633695190e-02,4.780047823401840229e-02,6.957096212202752428e-01
7.054802310718645458e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.512315717709645763e-02,4.780047823401840229e-02,7.347867317381814312e-01
7.924828983539169712e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.560734559073477912e-02,4.780047823401840229e-02,7.449160951154234489e-01
8.902150854450392217e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.412225903870991922e-02,4.780047823401840229e-02,7.138476496334709154e-01
1.000000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,3.420103273140782940e-02,4.780047823401840229e-02,7.154956183486007593e-01
1.000000000000000056e-01,9.577788161520000010e-01,3.048704659585889098e-01,3.945731354849616596e-02,4.780047823401840229e-02,8.254585520112094343e-01
1.123324032978027381e-01,9.577788161520000010e-01,3.048704659585889098e-01,3.977119063015868011e-02,4.780047823401840229e-02,8.320249524586246226e-01
1.261856883066020396e-01,9.577788161520000010e-01,3.048704659585889098e-01,4.211244602111721691e-02,4.780047823401840229e-02,8.810047007259196317e-01
1.417474162926805059e-01,9.577788161520000010e-01,3.048704659585889098e-01,4.081028451632975201e-02,4.780047823401840229e-02,8.537631007901944624e-01
1.592282793341092129e-01,9.577788161520000010e-01,3.048704659585889098e-01,4.080541038384999375e-02,4.780047823401840229e-02,8.536611325116367777e-01
1.788649529057435017e-01,9.577788161520000010e-01,3.048704659585889098e-01,4.015140180493173561e-02,4.780047823401840229e-02,8.399790815556524848e-01
2.009233002565046777e-01,9.577788161520000010e-01,3.048704659585889098e-01,4.204000987651609900e-02,4.780047823401840229e-02,8.794893153725243939e-01
2.257019719633920340e-01,9.577788161520000010e-01,3.048704659585889098e-01,4.016404373348696905e-02,4.780047823401840229e-02,8.402435544024164926e-01
2.535364493970111432e-01,9.577788161520000010e-01,3.048704659585889098e-01,4.147734652944479183e-02,4.780047823401840229e-02,8.677182334114473816e-01
2.848035868435802032e-01,9.577788161520000010e-01,3.048704659585889098e-01,4.114701653687750232e-02,4.780047823401840229e-02,8.608076332507108575e-01
3.199267137797383587e-01,9.577788161520000010e-01,3.048704659585889098e-01,3.986523448900935324e-02,4.780047823401840229e-02,8.339923775205718703e-01
3.593813663804627523e-01,9.577788161520000010e-01,3.048704659585889098e-01,4.149513947959286575e-02,4.780047823401840229e-02,8.680904671380843540e-01
4.037017258596554692e-01,9.577788161520000010e-01,3.048704659585889098e-01,4.031400708142372780e-02,4.780047823401840229e-02,8.433808315485274987e-01
4.534878508128581953e-01,9.577788161520000010e-01,3.048704659585889098e-01,4.022957191950873174e-02,4.780047823401840229e-02,8.416144232397732017e-01
5.094138014816379512e-01,9.577788161520000010e-01,3.048704659585889098e-01,4.056128598773100363e-02,4.780047823401840229e-02,8.485539786684509478e-01
5.722367659350217073e-01,9.577788161520000010e-01,3.048704659585889098e-01,4.106045126674995327e-02,4.780047823401840229e-02,8.589966624544826956e-01
6.428073117284320848e-01,9.577788161520000010e-01,3.048704659585889098e-01,4.071132952885617856e-02,4.780047823401840229e-02,8.516929334795430018e-01
7.220809018385463407e-01,9.577788161520000010e-01,3.048704659585889098e-01,4.093895432878796176e-02,4.780047823401840229e-02,8.564549109396302207e-01
8.111308307896870629e-01,9.577788161520000010e-01,3.048704659585889098e-01,4.269093652061511229e-02,4.780047823401840229e-02,8.931068913497405282e-01
9.111627561154891364e-01,9.577788161520000010e-01,3.048704659585889098e-01,4.072406052972950968e-02,4.780047823401840229e-02,8.519592697452808006e-01
1.023531021899026339e+00,9.577788161520000010e-01,3.048704659585889098e-01,3.980146671974796324e-02,4.780047823401840229e-02,8.326583371172687764e-01
1.149756995397735571e+00,9.577788161520000010e-01,3.048704659585889098e-01,4.062792387607384176e-02,4.780047823401840229e-02,8.499480628032706209e-01
1.291549665014884107e+00,9.577788161520000010e-01,3.048704659585889098e-01,3.977987019576304656e-02,4.780047823401840229e-02,8.322065315123292617e-01
1.450828778495939497e+00,9.577788161520000010e-01,3.048704659585889098e-01,3.995191815741975377e-02,4.780047823401840229e-02,8.358058252435427438e-01
1.629750834620644406e+00,9.577788161520000010e-01,3.048704659585889098e-01,3.949318869849469116e-02,4.780047823401840229e-02,8.262090706529454653e-01
1.830738280295367781e+00,9.577788161520000010e-01,3.048704659585889098e-01,4.246125526395367472e-02,4.780047823401840229e-02,8.883018922127658978e-01
2.056512308348651619e+00,9.577788161520000010e-01,3.048704659585889098e-01,3.979600250285012658e-02,4.780047823401840229e-02,8.325440240999160135e-01
2.310129700083159321e+00,9.577788161520000010e-01,3.048704659585889098e-01,4.232484538428747667e-02,4.780047823401840229e-02,8.854481575911503644e-01
2.595024211399735936e+00,9.577788161520000010e-01,3.048704659585889098e-01,4.131150887532443472e-02,4.780047823401840229e-02,8.642488611321899050e-01
2.915053062825175623e+00,9.577788161520000010e-01,3.048704659585889098e-01,4.044299853613451262e-02,4.780047823401840229e-02,8.460793705480595950e-01
3.274549162877728570e+00,9.577788161520000010e-01,3.048704659585889098e-01,4.179721905104942514e-02,4.780047823401840229e-02,8.744100602178367376e-01
3.678379771828632183e+00,9.577788161520000010e-01,3.048704659585889098e-01,4.094983057908184454e-02,4.780047823401840229e-02,8.566824452801996559e-01
4.132012400115336881e+00,9.577788161520000010e-01,3.048704659585889098e-01,3.993991546491824918e-02,4.780047823401840229e-02,8.355547254021825632e-01
4.641588833612779297e+00,9.577788161520000010e-01,3.048704659585889098e-01,4.089548543774495365e-02,4.780047823401840229e-02,8.555455290118972878e-01
5.214008287999684299e+00,9.577788161520000010e-01,3.048704659585889098e-01,3.968223118125036725e-02,4.780047823401840229e-02,8.301638947413191305e-01
5.857020818056667189e+00,9.577788161520000010e-01,3.048704659585889098e-01,4.082525663443729164e-02,4.780047823401840229e-02,8.540763218846413318e-01
6.579332246575678944e+00,9.577788161520000010e-01,3.048704659585889098e-01,3.982434989658046459e-02,4.780047823401840229e-02,8.331370598764945568e-01
7.390722033525778834e+00,9.577788161520000010e-01,3.048704659585889098e-01,4.084381297370742736e-02,4.780047823401840229e-02,8.544645259352219302e-01
8.302175681319743816e+00,9.577788161520000010e-01,3.048704659585889098e-01,3.967883782385541597e-02,4.780047823401840229e-02,8.300929047110867653e-01
9.326033468832198636e+00,9.577788161520000010e-01,3.048704659585889098e-01,3.873148110168150859e-02,4.780047823401840229e-02,8.102739247097591191e-01
1.047615752789665144e+01,9.577788161520000010e-01,3.048704659585889098e-01,3.996137509673717420e-02,4.780047823401840229e-02,8.360036671829292887e-01
1.176811952434997899e+01,9.577788161520000010e-01,3.048704659585889098e-01,3.983243644109937809e-02,4.780047823401840229e-02,8.333062327554628945e-01
1.321941148466028793e+01,9.577788161520000010e-01,3.048704659585889098e-01,4.077197355621688807e-02,4.780047823401840229e-02,8.529616242876937315e-01
1.484968262254465010e+01,9.577788161520000010e-01,3.048704659585889098e-01,4.011917164912576911e-02,4.780047823401840229e-02,8.393048172596306866e-01
1.668100537200059108e+01,9.577788161520000010e-01,3.048704659585889098e-01,4.081885933522185622e-02,4.780047823401840229e-02,8.539424885120102671e-01
1.873817422860383175e+01,9.577788161520000010e-01,3.048704659585889098e-01,3.966127869104715126e-02,4.780047823401840229e-02,8.297255625116572997e-01
2.104904144512019570e+01,9.577788161520000010e-01,3.048704659585889098e-01,4.134086792503031960e-02,4.780047823401840229e-02,8.648630610479762781e-01
2.364489412645407285e+01,9.577788161520000010e-01,3.048704659585889098e-01,3.961588455759944283e-02,4.780047823401840229e-02,8.287759039491326973e-01
2.656087782946686815e+01,9.577788161520000010e-01,3.048704659585889098e-01,3.941554663757875637e-02,4.780047823401840229e-02,8.245847760060212028e-01
2.983647240283340452e+01,9.577788161520000010e-01,3.048704659585889098e-01,4.165597460128464546e-02,4.780047823401840229e-02,8.714551849742609990e-01
3.351602650938841066e+01,9.577788161520000010e-01,3.048704659585889098e-01,3.969755790416319013e-02,4.780047823401840229e-02,8.304845342721159929e-01
