T_months,ratio_phi_0.000000pi,ratio_phi_0.304870pi,ratio_phi_0.351318pi,ratio_phi_0.355558pi,ratio_phi_0.417292pi,ratio_phi_0.481698pi,ratio_phi_0.500000pi,ratio_phi_0.537190pi,ratio_phi_0.553012pi,ratio_phi_0.602292pi,ratio_phi_0.621582pi,ratio_phi_0.653404pi,ratio_phi_0.770314pi,ratio_phi_0.799848pi,ratio_phi_0.808087pi,ratio_phi_0.837633pi,ratio_phi_0.838962pi,ratio_phi_0.903676pi,ratio_phi_0.926923pi,ratio_phi_0.961434pi,ratio_phi_avg,time_independent
5.094138014816379512e-01,8.497210201598728307e-01,8.485539786684509478e-01,9.170373097485549074e-01,9.278488189320971413e-01,9.079187949801689195e-01,9.146468640655222027e-01,8.372455018162280327e-01,8.611118271813227310e-01,8.729331019648614021e-01,8.355539619035285970e-01,8.395905304637482081e-01,8.335878003271958159e-01,8.433784935751151846e-01,8.529827192612809972e-01,8.375120671185166676e-01,8.719411629620551496e-01,8.366776412905968519e-01,8.339079427842877035e-01,8.481132329023224337e-01,8.412889679208179761e-01,8.605775869013273516e-01,1.000000000000000000e+00
5.722367659350217073e-01,8.417405446555487059e-01,8.589966624544826956e-01,8.230312670593030733e-01,8.413761921388633880e-01,8.402249140163893237e-01,9.199052900197260962e-01,8.591894871003541434e-01,8.417621538653793367e-01,8.514114694078848133e-01,8.361986638037864905e-01,8.593437603207417785e-01,8.236119611759454839e-01,8.404036234332198374e-01,9.059625333027228056e-01,8.330949517884085331e-01,8.368670854697792816e-01,8.436256145759084557e-01,8.324456831097725162e-01,8.421611271493442130e-01,9.143582369106857399e-01,8.522855610879125354e-01,1.000000000000000000e+00
6.428073117284320848e-01,8.401695313717815194e-01,8.516929334795430018e-01,9.152249344427544342e-01,8.560113075914984604e-01,9.092490093699979736e-01,8.302499137682531893e-01,8.625000176220480874e-01,8.456731687813408005e-01,9.021708725503696513e-01,8.368354441458345505e-01,8.632000675193604033e-01,8.964556751869613427e-01,8.444560974851872404e-01,9.048622893927209532e-01,8.512948700005519287e-01,8.407445414850498455e-01,9.006178355353059439e-01,8.349695386903001060e-01,8.618650256822034672e-01,8.467198386197987148e-01,8.647481456360430752e-01,1.000000000000000000e+00
7.220809018385463407e-01,8.324891188922098895e-01,8.564549109396302207e-01,8.468548849486560171e-01,8.432075773961895671e-01,8.247639505564340334e-01,8.319555689801423348e-01,8.622137454366369802e-01,8.298812145163981802e-01,8.406696321169699893e-01,8.506680928210341719e-01,8.315069553993482687e-01,8.452390337026453038e-01,8.629854311101562425e-01,8.140379963618117332e-01,8.463239450665287489e-01,8.941883533540921913e-01,9.043139853222329494e-01,8.536384260491358678e-01,8.343505304072101891e-01,8.428140495056656301e-01,8.474278701441564365e-01,1.000000000000000000e+00
8.111308307896870629e-01,8.331175949899974897e-01,8.931068913497405282e-01,8.300428707762614877e-01,8.468607235151341950e-01,8.492836948546381715e-01,8.442217611716604786e-01,8.659199257945400241e-01,8.502303833980787706e-01,8.612845343353088268e-01,8.530603351607000118e-01,8.231524911155577717e-01,8.392742497556004988e-01,8.287926317943195009e-01,8.559382571935413297e-01,8.320912885603254372e-01,8.543338446093075023e-01,8.522425141589028419e-01,8.519886504563249918e-01,8.469928845797708439e-01,8.436004850063639759e-01,8.477768006288035618e-01,1.000000000000000000e+00
9.111627561154891364e-01,8.993427731595032837e-01,8.519592697452808006e-01,8.668713089958640650e-01,8.559697715366999526e-01,8.496964124002177599e-01,8.521748204523451609e-01,9.051522182035116604e-01,9.011620346400434078e-01,8.344318344701943113e-01,8.499883168407648126e-01,8.247774182618409222e-01,8.360496674445346832e-01,8.487862489500299645e-01,8.430664284671046671e-01,8.529613825235158320e-01,8.885916858145059827e-01,8.974940172631028501e-01,8.901324048629729591e-01,8.255194782718083824e-01,9.087728452377032973e-01,8.641450168770770102e-01,1.000000000000000000e+00
1.023531021899026339e+00,8.594312823448587713e-01,8.326583371172687764e-01,8.329385273751710450e-01,8.345309048023858978e-01,8.607763045057573725e-01,8.235468877426440626e-01,8.825121932156652083e-01,8.602297639195674028e-01,8.996519299404535097e-01,8.329074837657419739e-01,8.932827824071448708e-01,9.067073400788973059e-01,8.854324981246096682e-01,8.453468916120824295e-01,8.231036317591766682e-01,8.231063263129269059e-01,9.046369174072086405e-01,8.411717812747623313e-01,8.371940460460454148e-01,8.422825350881980588e-01,8.560724182420281769e-01,1.000000000000000000e+00
1.149756995397735571e+00,8.430273328194954896e-01,8.499480628032706209e-01,8.374118888095183344e-01,8.298297190254204647e-01,9.032612367102462736e-01,8.290828924189930227e-01,8.122478065550217119e-01,8.848977191410679621e-01,8.273867781069417227e-01,8.547911716417221362e-01,8.419705177334346757e-01,8.230556913107640593e-01,8.218320543833432801e-01,8.165195008694143830e-01,8.293795748556009872e-01,8.489505506630140586e-01,8.361137193109956511e-01,8.371297761418730055e-01,8.398634568915169796e-01,8.341698084577441330e-01,8.400434629324700087e-01,1.000000000000000000e+00
1.291549665014884107e+00,8.365948386456570907e-01,8.322065315123292617e-01,8.861194794630314897e-01,8.252297972214984734e-01,8.418913505057441515e-01,8.438213478210326857e-01,8.875855596065955755e-01,8.637498216460532952e-01,9.054931666458928552e-01,8.297522645612083192e-01,8.510256031656888709e-01,8.910827857877814395e-01,8.381663827325941396e-01,8.330382628062165118e-01,8.559268445865754193e-01,8.230967403804829718e-01,9.030654619490420254e-01,8.529604985872726308e-01,8.155649204138711861e-01,8.446483683024638145e-01,8.530510013170514716e-01,1.000000000000000000e+00
1.450828778495939497e+00,8.379683492793291721e-01,8.358058252435427438e-01,8.438490114360902572e-01,8.863925689271657804e-01,8.151068296870171981e-01,8.303908485423379116e-01,8.134798242075635955e-01,8.444147427218572366e-01,8.228250119316653510e-01,8.374190693128762408e-01,8.392113841194291934e-01,8.276034909016783958e-01,8.237978215994811171e-01,8.388254890003263853e-01,8.462895421379420524e-01,8.564976276428026836e-01,8.471503285857815424e-01,8.300197711836563297e-01,8.405760307203042903e-01,8.356704627452123946e-01,8.376647014963030102e-01,1.000000000000000000e+00
